UNID_CARTO	CANA_AZUCA	BANANO	AGRICOLA	INGENIERIA
237	3 Marginal	3 Marginal	3 Bajo	3 Limit_fuerte
239	2 Mod_apta	2 Mod_apta	1 Alto	4 Limit_muy fuerte
240	2 Mod_apta	2 Mod_apta	2 Moderado	2 Limit_moderada
241	2 Mod_apta	2 Mod_apta	1 Alto	3 Limit_fuerte
243	3 Marginal	3 Marginal	3 Bajo	3 Limit_fuerte
244	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
245	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
246	3 Marginal	3 Marginal	3 Bajo	4 Limit_muy fuerte
247	2 Mod_apta	2 Mod_apta	2 Moderado	2 Limit_moderada
248	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
249	2 Mod_apta	2 Mod_apta	1 Alto	4 Limit_muy fuerte
250	3 Marginal	3 Marginal	3 Bajo	3 Limit_fuerte
251	3 Marginal	3 Marginal	3 Bajo	4 Limit_muy fuerte
252	2 Mod_apta	2 Mod_apta	2 Moderado	1 Limit_ligera
253	2 Mod_apta	2 Mod_apta	2 Moderado	2 Limit_moderada
254	2 Mod_apta	2 Mod_apta	1 Alto	1 Limit_ligera
255	4 No apta	4 No apta	4 Muy bajo	3 Limit_fuerte
256	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
257	2 Mod_apta	2 Mod_apta	1 Alto	3 Limit_fuerte
259	4 No apta	4 No apta	4 Muy bajo	2 Limit_moderada
260	3 Marginal	3 Marginal	3 Bajo	3 Limit_fuerte
262	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
263	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
264	2 Mod_apta	2 Mod_apta	1 Alto	1 Limit_ligera
265	4 No apta	4 No apta	3 Bajo	4 Limit_muy fuerte
266	2 Mod_apta	2 Mod_apta	2 Moderado	2 Limit_moderada
267	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
268	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
269	4 No apta	4 No apta	3 Bajo	4 Limit_muy fuerte
270	4 No apta	4 No apta	4 Muy bajo	2 Limit_moderada
271	2 Mod_apta	2 Mod_apta	2 Moderado	2 Limit_moderada
272	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
273	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
274	2 Mod_apta	2 Mod_apta	1 Alto	3 Limit_fuerte
275	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
276	2 Mod_apta	2 Mod_apta	3 Bajo	3 Limit_fuerte
277	3 Marginal	3 Marginal	2 Moderado	2 Limit_moderada
278	2 Mod_apta	2 Mod_apta	1 Alto	1 Limit_ligera
279	2 Mod_apta	2 Mod_apta	1 Alto	1 Limit_ligera
280	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
281	2 Mod_apta	2 Mod_apta	1 Alto	2 Limit_moderada
